iter	Passed	Remaining
1043	889990	7634823
1044	890785	7633480
1045	891579	7632122
1046	892466	7631571
1047	893350	7630982
1048	894239	7630441
1049	895126	7629889
1050	895997	7629190
1051	896875	7628560
1052	897753	7627922
1053	898638	7627346
1054	899519	7626732
1055	900296	7625236
1056	901183	7624674
1057	902057	7624009
1058	902933	7623349
1059	903713	7621882
1060	904597	7621299
1061	905473	7620638
1062	906347	7619973
1063	907225	7619329
1064	908104	7618699
1065	908993	7618150
1066	909876	7617550
1067	910762	7616974
1068	911649	7616405
1069	912443	7615065
1070	913320	7614412
1071	914102	7612972
1072	914892	7611601
1073	915784	7611071
1074	916663	7610442
1075	917550	7609869
1076	918439	7609314
1077	919224	7607904
1078	920018	7606562
1079	920809	7605203
1080	921597	7603819
1081	922387	7602447
1082	923270	7601846
1083	924158	7601285
1084	924940	7599852
1085	925822	7599247
1086	926704	7598636
1087	927580	7597975
1088	928459	7597336
1089	929251	7595989
1090	930134	7595388
1091	930914	7593939
1092	931784	7593234
1093	932669	7592645
1094	933562	7592119
1095	934358	7590808
1096	935241	7590204
1097	936129	7589639
1098	937009	7589010
1099	937897	7588444
1100	938688	7587092
1101	939554	7586349
1102	940440	7585764
1103	941327	7585193
1104	942202	7584518
1105	943086	7583919
1106	943870	7582508
1107	944758	7581941
1108	945647	7581378
1109	946521	7580696
1110	947405	7580099
1111	948290	7579503
1112	949174	7578897
1113	950056	7578281
1114	950941	7577682
1115	951829	7577107
1116	952701	7576406
1117	953496	7575098
1118	954386	7574538
1119	955274	7573959
1120	956158	7573358
1121	957037	7572711
1122	957925	7572135
1123	958704	7570691
1124	959588	7570084
1125	960477	7569518
1126	961353	7568847
1127	962141	7567478
1128	962930	7566127
1129	963816	7565530
1130	964598	7564124
1131	965486	7563544
1132	966274	7562185
1133	967158	7561577
1134	968049	7561018
1135	968839	7559676
1136	969725	7559083
1137	970605	7558442
1138	971492	7557854
1139	972291	7556582
1140	973169	7555923
1141	973965	7554629
1142	974847	7554005
1143	975726	7553353
1144	976517	7552021
1145	977385	7551283
1146	978180	7549985
1147	979072	7549433
1148	979954	7548807
1149	980831	7548137
1150	981711	7547494
1151	982587	7546814
1152	983369	7545419
1153	984254	7544811
1154	985144	7544248
1155	986027	7543625
1156	986824	7542341
1157	987619	7541044
1158	988503	7540432
1159	989298	7539139
1160	990082	7537762
1161	990969	7537170
1162	991852	7536541
1163	992629	7535115
1164	993504	7534434
1165	994391	7533837
1166	995175	7532466
1167	996059	7531846
1168	996942	7531223
1169	997825	7530595
1170	998710	7529984
1171	999499	7528655
1172	1000385	7528046
1173	1001262	7527382
1174	1002057	7526090
1175	1002942	7525483
1176	1003826	7524860
1177	1004618	7523551
1178	1005505	7522953
1179	1006302	7521686
1180	1007175	7520984
1181	1007952	7519567
1182	1008750	7518304
1183	1009537	7516958
1184	1010334	7515693
1185	1011215	7515051
1186	1012000	7513697
1187	1012789	7512373
1188	1013679	7511799
1189	1014564	7511187
1190	1015449	7510575
1191	1016328	7509920
1192	1017202	7509218
1193	1018091	7508635
1194	1018978	7508040
1195	1019860	7507402
1196	1020652	7506105
1197	1021529	7505429
1198	1022326	7504168
1199	1023213	7503563
1200	1024102	7502979
1201	1024989	7502374
1202	1025867	7501712
1203	1026750	7501078
1204	1027636	7500463
1205	1028526	7499883
1206	1029414	7499286
1207	1030304	7498704
1208	1031090	7497365
1209	1031976	7496752
1210	1032759	7495395
1211	1033547	7494073
1212	1034342	7492801
1213	1035215	7492094
1214	1036102	7491487
1215	1036979	7490809
1216	1037855	7490124
1217	1038743	7489529
1218	1039633	7488944
1219	1040515	7488303
1220	1041402	7487695
1221	1042186	7486348
1222	1043064	7485672
1223	1043941	7484993
1224	1044825	7484365
1225	1045713	7483758
1226	1046497	7482415
1227	1047381	7481780
1228	1048177	7480522
1229	1048954	7479131
1230	1049738	7477784
1231	1050512	7476376
1232	1051311	7475143
1233	1052197	7474524
1234	1053087	7473936
1235	1053967	7473276
1236	1054758	7471987
1237	1055630	7471269
1238	1056515	7470647
1239	1057399	7470012
1240	1058279	7469352
1241	1059074	7468095
1242	1059964	7467502
1243	1060740	7466109
1244	1061628	7465505
1245	1062503	7464812
1246	1063370	7464059
1247	1064165	7462798
1248	1065047	7462156
1249	1065846	7460924
1250	1066718	7460206
1251	1067605	7459597
1252	1068408	7458393
1253	1069186	7457022
1254	1070076	7456428
1255	1070873	7455192
1256	1071766	7454615
1257	1072654	7454011
1258	1073438	7452683
1259	1074318	7452019
1260	1075207	7451418
1261	1075994	7450113
1262	1076863	7449371
1263	1077749	7448752
1264	1078622	7448040
1265	1079414	7446764
1266	1080193	7445404
1267	1081077	7444772
1268	1081949	7444050
1269	1082742	7442792
1270	1083538	7441548
1271	1084428	7440951
1272	1085314	7440331
1273	1086195	7439673
1274	1087070	7438971
1275	1087952	7438319
1276	1088827	7437621
1277	1089617	7436342
1278	1090497	7435677
1279	1091286	7434388
1280	1092084	7433164
1281	1092972	7432552
1282	1093856	7431912
1283	1094728	7431197
1284	1095522	7429941
1285	1096408	7429315
1286	1097279	7428593
1287	1098062	7427264
1288	1098850	7425979
1289	1099733	7425335
1290	1100620	7424711
1291	1101503	7424066
1292	1102296	7422815
1293	1103179	7422163
1294	1104051	7421443
1295	1104935	7420803
1296	1105823	7420187
1297	1106709	7419557
1298	1107503	7418309
1299	1108396	7417731
1300	1109285	7417119
1301	1110173	7416506
1302	1111064	7415907
1303	1111846	7414582
1304	1112723	7413894
1305	1113605	7413237
1306	1114488	7412584
1307	1115284	7411352
1308	1116167	7410705
1309	1116959	7409446
1310	1117836	7408756
1311	1118726	7408152
1312	1119517	7406889
1313	1120396	7406212
1314	1121200	7405040
1315	1122082	7404378
1316	1122958	7403683
1317	1123848	7403076
1318	1124720	7402350
1319	1125608	7401728
1320	1126392	7400425
1321	1127182	7399157
1322	1128064	7398499
1323	1128854	7397238
1324	1129652	7396025
1325	1130445	7394783
1326	1131324	7394105
1327	1132103	7392772
1328	1132987	7392123
1329	1133868	7391456
1330	1134747	7390780
1331	1135632	7390136
1332	1136421	7388871
1333	1137302	7388201
1334	1138193	7387600
1335	1139067	7386886
1336	1139938	7386156
1337	1140731	7384912
1338	1141513	7383603
1339	1142308	7382380
1340	1143193	7381741
1341	1143989	7380524
1342	1144787	7379319
1343	1145660	7378599
1344	1146545	7377959
1345	1147433	7377333
1346	1148307	7376615
1347	1149191	7375969
1348	1149978	7374692
1349	1150848	7373956
1350	1151646	7372753
1351	1152429	7371459
